a,b,c
37.5096703,127.0424706,1
37.50905974,127.0428492,1
37.50659594,127.0475471,1
37.50443563,127.0479189,1
37.50355319,127.046564,1
37.50019353,127.0437008,1
37.49882981,127.0516274,1
37.4965276,127.0519425,1
37.49600832,127.049491,1
37.49496993,127.0494564,1
37.49440741,127.0479719,1
37.49420545,127.0460607,1
37.49020194,127.0532865,1
37.48717732,127.0467489,1
37.48518723,127.0372133,1
37.48910585,127.0321411,1
37.49164925,127.0309775,1
37.49319691,127.0303053,1
37.49367633,127.0316963,1
37.4987875,127.0308758,1
37.49877468,127.0281051,1
37.50019392,127.0274639,1
37.50458904,127.0253647,1
37.50644138,127.0315293,1
37.50750132,127.0350387,1
37.50127234,127.0375747,1
37.50290587,127.0428513,1
37.50295927,127.0304449,1
37.50027915,127.0436386,1
37.49605457,127.0404217,1
37.49206126,127.0392379,1
37.49446398,127.0343145,1
37.49314129,127.035849,1
37.498728,127.05171,1
37.505722,127.057585,1
37.499601,127.060301,1
37.497033,127.055087,1
37.49691,127.055157,1
37.498163,127.055872,1
37.497134,127.05568,1
37.497982,127.059785,1
37.496263,127.059873,1
37.50021,127.060029,1
37.5264197,127.0461611,1
37.51422627,127.0529685,1
37.51624521,127.0514061,1
37.51256375,127.0603632,1
37.51558185,127.0671086,1
37.51956631,127.0238158,1
37.52594432,127.0287163,1
37.50616158,127.0240208,1
37.51614035,127.0400678,1
37.51372396,127.0306911,1
37.50916645,127.0332171,1
37.51208182,127.0205955,1
37.52821071,127.027139,1
37.50643911,127.0315915,1
37.5273814,127.0287536,1
37.52302769,127.03562,1
37.52040762,127.0369366,1
37.52398911,127.0435478,1
37.52516957,127.0431483,1
37.5247431,127.0451391,1
37.51581016,127.0372412,1
37.50997894,127.0423563,1
37.50971648,127.0424565,1
37.50900222,127.0430683,1
37.51289311,127.052238,1
